
2024/09/21 (13:30:07) | ===> btop++ v.1.3.2
2024/09/21 (13:30:07) | ERROR: Hex value missing: #

2024/09/23 (03:30:02) | ===> btop++ v.1.4.0
2024/09/23 (03:30:02) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/23 (03:30:04) | ===> btop++ v.1.4.0
2024/09/23 (03:30:04) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/23 (16:28:45) | ===> btop++ v.1.4.0
2024/09/23 (16:28:45) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/24 (14:19:22) | ===> btop++ v.1.4.0
2024/09/24 (14:19:22) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/24 (15:30:43) | ===> btop++ v.1.4.0
2024/09/24 (15:30:43) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/24 (21:52:11) | ===> btop++ v.1.4.0
2024/09/24 (21:52:11) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/25 (13:41:30) | ===> btop++ v.1.4.0
2024/09/25 (13:41:30) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/25 (15:02:13) | ===> btop++ v.1.4.0
2024/09/25 (15:02:13) | WARNING: Intel GPU: Failed to initialize PMU
